1;2782.00;10.07;1556.00;small
1;2769.00;9.93;1595.00;small
2;2733.00;9.50;1672.00;small
2;2744.00;12.20;1635.00;small
3;2701.00;10.20;1609.00;small
3;2680.00;10.00;1576.00;small
4;2875.00;9.80;1530.00;small
4;2890.00;9.57;1567.00;small
5;2969.00;10.73;1536.00;big
6;3052.00;9.73;1727.00;big
6;3042.00;11.73;1803.00;big
6;3025.00;10.50;1675.00;small
7;3094.00;9.50;1894.00;big
7;3222.00;10.60;1901.00;big
8;3200.00;10.45;1786.00;big
9;3177.00;9.50;1725.00;big
9;3232.00;9.50;1735.00;big
10;3562.00;10.43;1808.00;big
10;3325.00;10.38;1763.00;big
11;3247.00;9.90;1587.00;big
11;3185.00;10.18;1656.00;big
12;3384.00;10.55;1650.00;big
12;3417.00;10.00;1588.00;big
12;3456.00;10.38;1659.00;big
12;3397.00;9.98;1537.00;big
12;3336.00;10.00;1589.00;big
13;3654.00;10.38;1641.00;big
13;3538.00;10.82;1609.00;big
14;3480.00;9.70;1448.00;big
14;3448.00;10.40;1478.00;big
14;3427.00;10.00;1391.00;big
14;3421.00;9.73;1445.00;big
14;3404.00;10.90;1416.00;big
14;3460.00;10.38;1514.00;big
14;3504.00;9.80;1504.00;big
14;3529.00;11.30;1426.00;big
14;3519.00;10.03;1463.00;big
15;3472.00;10.55;1406.00;big
15;3525.00;10.07;1383.00;big
16;2785.00;9.70;1745.00;big
16;2821.00;9.50;1650.00;big
17;3753.00;10.15;1733.00;big
17;3727.00;14.53;1642.00;big
17;3805.00;10.40;1651.00;big
17;3878.00;9.80;1678.00;big
18;2754.00;9.50;1519.00;small
18;2842.00;9.50;1557.00;small
19;2875.00;10.93;1437.00;big
19;2814.00;9.80;1469.00;big
20;3951.00;9.80;1796.00;big
20;4211.00;9.90;1724.00;big
21;2938.00;15.68;1451.00;big
21;3027.00;14.07;1465.00;big
22;3110.00;10.73;1475.00;small
22;3044.00;12.10;1517.00;small
23;3035.00;11.03;1347.00;small
23;2968.00;9.73;1422.00;small
24;3124.00;12.30;1383.00;small
24;3067.00;11.20;1416.00;small
25;3153.00;13.18;1298.00;small
25;3165.00;9.62;1335.00;small
26;3234.00;10.23;1435.00;small
26;3175.00;9.70;1405.00;small
27;4403.00;10.80;1634.00;small
27;4090.00;10.53;1602.00;small
28;3388.00;10.28;1245.00;big
28;3430.00;10.20;1248.00;big
28;3385.00;11.15;1201.00;big
29;3121.00;9.50;1237.00;big
29;3029.00;9.50;1248.00;big
30;3260.00;9.50;1382.00;big
30;3346.00;10.60;1417.00;big
31;4023.00;10.75;846.00;big
31;4015.00;11.30;937.00;big
32;1196.00;9.50;146.00;big
32;1281.00;9.50;420.00;big
33;594.00;13.48;1971.00;big
33;326.00;11.23;1981.00;big
34;1548.00;10.98;1006.00;big
34;1444.00;11.25;1090.00;big
35;1625.00;19.58;682.00;big
35;1790.00;18.05;582.00;big
36;2169.00;9.50;1945.00;big
36;2014.00;11.60;1987.00;big
37;4882.00;11.45;1526.00;big
37;4577.00;12.23;1580.00;big
38;3069.00;9.80;1578.00;small
38;3131.00;9.93;1550.00;small
39;4756.00;11.50;1770.00;big
39;5283.00;12.15;1837.00;big
40;3518.00;11.20;1327.00;big
40;3561.00;9.90;1331.00;big
40;3466.00;15.10;1374.00;big
40;3500.00;11.82;1351.00;big
41;2710.00;12.40;1292.00;big
41;2709.00;13.95;1362.00;big
41;2787.00;12.90;1343.00;big
42;2670.00;9.50;1407.00;small
42;2735.00;9.50;1437.00;small
43;2642.00;9.50;1525.00;big
43;2647.00;9.50;1675.00;big
44;2238.00;9.50;1890.00;big
44;2414.00;9.50;1967.00;big
45;2628.00;9.50;1998.00;big
45;2837.00;9.50;1926.00;big
46;3261.00;9.50;2033.00;big
46;3464.00;9.50;1939.00;big
47;2598.00;9.50;1377.00;big
47;2618.00;9.50;1224.00;big
48;2571.00;9.50;1144.00;big
48;2473.00;9.50;963.00;big
49;2473.00;9.50;1525.00;big
49;2307.00;9.50;1671.00;big
50;1867.00;9.50;1978.00;big
50;2078.00;9.50;1765.00;big
51;2381.00;9.50;1348.00;big
51;2191.00;9.50;1473.00;big
52;1351.00;9.50;1255.00;big
52;1463.00;9.50;1295.00;big
53;1651.00;9.50;1137.00;big
53;1848.00;9.50;1116.00;big
54;1638.00;9.50;1388.00;big
54;1745.00;9.50;1536.00;big
55;1913.00;9.50;1575.00;big
55;1875.00;9.50;1693.00;big
56;2037.00;9.50;1289.00;big
56;2034.00;9.50;1461.00;big
57;1811.00;9.50;1263.00;big
57;1827.00;9.60;1412.00;big
58;2430.00;9.50;1116.00;big
